LBE,Brooklyn,11204
MBE,WBE,BLACK,Cambria Heights,11411
MBE,BLACK,Yorktown Heights,10598
MBE,BLACK,Long Beach,11561
MBE,ASIAN,Brooklyn,11235
MBE,WBE,ASIAN,New York,10010
MBE,ASIAN,New York,10026
MBE,BLACK,New York,10026
MBE,HISPANIC,New York,10034
MBE,WBE,BLACK,Staten Island,10303
MBE,ASIAN,New York,10018
MBE,WBE,HISPANIC,New York,10034
MBE,WBE,ASIAN,New York,10013
MBE,BLACK,Jamaica,11434
WBE,NON-MINORITY,New York,10022
MBE,BLACK,Staten Island,10304
MBE,BLACK,Bronx,10454
WBE,NON-MINORITY,New Rochelle,10801
WBE,NON-MINORITY,Staten Island,10301
WBE,NON-MINORITY,New York,10006
MBE,BLACK,Brooklyn,11239
MBE,HISPANIC,Lincoln Park,7035
MBE,WBE,BLACK,New York,10027
WBE,NON-MINORITY,Staten Island,10310
